;NU_INSCRICAO;NU_ANO;TP_ESCOLA;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
0;180008309633;2018;1;;;;;;;;;;
1;180008414839;2018;4;29367263.0;2925931.0;Quixabeira;4.0;2.0;388.8;608.1;536.7;509.6;540.0
2;180008414489;2018;4;31327514.0;3120805.0;Cruzília;4.0;2.0;479.1;567.8;514.2;473.6;500.0
3;180008313015;2018;2;22161201.0;2203305.0;Demerval Lobão;2.0;2.0;462.7;575.3;407.4;515.1;340.0
4;180008202891;2018;2;26018977.0;2611533.0;Quixaba;2.0;2.0;512.5;505.7;522.3;426.5;580.0
5;180008902388;2018;1;21206341.0;2103307.0;Codó;1.0;2.0;501.7;562.7;527.7;458.9;440.0
6;180008202915;2018;1;24085367.0;2402204.0;Canguaretama;1.0;2.0;520.4;544.6;590.5;425.3;600.0
7;180007773605;2018;1;21017638.0;2111300.0;São Luís;1.0;2.0;528.4;649.9;614.4;519.2;600.0
8;180008206288;2018;2;21491208.0;2109452.0;Raposa;2.0;2.0;370.3;496.2;471.4;446.8;360.0
9;180008267228;2018;2;21017638.0;2111300.0;São Luís;1.0;2.0;513.2;585.2;532.6;428.4;680.0
10;180008215565;2018;2;31097764.0;3124203.0;Espera Feliz;2.0;2.0;;;;;
11;180008215566;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;472.4;490.2;501.4;460.5;300.0
12;180008412379;2018;2;33050759.0;3301702.0;Duque de Caxias;2.0;2.0;410.2;511.8;447.0;488.8;320.0
13;180008736487;2018;3;29317827.0;2906907.0;Caravelas;3.0;2.0;376.6;484.0;436.9;486.1;380.0
14;180008411546;2018;2;17042798.0;1700400.0;Almas;2.0;2.0;491.2;620.9;589.4;687.3;560.0
15;180008412287;2018;1;28021118.0;2806701.0;São Cristóvão;1.0;2.0;;;;;
16;180008575703;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;428.6;447.6;405.9;564.6;340.0
17;180008959577;2018;2;21017239.0;2111300.0;São Luís;2.0;2.0;376.1;602.4;391.8;510.0;640.0
18;180008959581;2018;1;;;;;;393.3;581.4;443.1;395.1;500.0
19;180008632416;2018;2;35028721.0;3530300.0;Mirassol;2.0;2.0;;;;;
20;180008415590;2018;2;33041946.0;3303906.0;Petrópolis;2.0;2.0;401.8;530.9;433.6;442.2;360.0
21;180008862042;2018;2;33097046.0;3301900.0;Itaboraí;2.0;2.0;519.9;496.6;438.0;429.2;320.0
22;180008480425;2018;2;25018272.0;2516201.0;Sousa;2.0;2.0;534.3;515.7;497.6;529.4;560.0
23;180008963691;2018;2;17042798.0;1700400.0;Almas;2.0;2.0;478.3;571.3;590.6;623.9;540.0
24;180007939680;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;424.8;417.4;480.4;437.9;320.0
25;180008962968;2018;2;31097764.0;3124203.0;Espera Feliz;2.0;2.0;498.0;580.9;503.4;572.6;600.0
26;180008381305;2018;4;29241065.0;2905008.0;Caculé;4.0;2.0;475.4;613.2;550.8;511.3;540.0
27;180007939697;2018;2;13013815.0;1304203.0;Tefé;2.0;2.0;414.7;434.0;428.6;466.9;320.0
28;180008689427;2018;2;23462329.0;2306256.0;Itaitinga;2.0;2.0;446.7;573.0;589.0;429.0;580.0
29;180008635805;2018;2;32043635.0;3202405.0;Guarapari;2.0;2.0;436.5;533.2;470.6;527.4;260.0
30;180008480473;2018;1;32081340.0;3204559.0;Santa Maria de Jetibá;1.0;2.0;679.2;681.6;624.8;732.5;720.0
31;180008743249;2018;2;53004981.0;5300108.0;Brasília;2.0;2.0;495.1;574.9;510.1;419.9;680.0
32;180007937164;2018;2;21259860.0;2110302.0;Santo Antônio dos Lopes;2.0;2.0;;;;;
33;180008868753;2018;2;17042798.0;1700400.0;Almas;2.0;2.0;;;;;
34;180008422338;2018;2;29915783.0;2933000.0;Valente;2.0;2.0;415.8;586.7;502.8;561.3;540.0
35;180009282374;2018;1;32033486.0;3204609.0;Santa Teresa;1.0;2.0;589.5;581.4;599.4;484.3;700.0
36;180007937201;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;603.5;632.6;560.4;562.5;480.0
37;180008746603;2018;2;41121902.0;4113205.0;Lapa;2.0;2.0;433.7;490.8;431.5;580.7;580.0
38;180008424974;2018;2;33050759.0;3301702.0;Duque de Caxias;2.0;2.0;554.2;707.1;665.1;597.2;920.0
39;180007673024;2018;2;17042798.0;1700400.0;Almas;2.0;2.0;397.9;462.9;538.6;377.8;440.0
40;180007946415;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;;;;;
41;180008919235;2018;1;21017638.0;2111300.0;São Luís;1.0;2.0;624.0;695.5;665.2;648.7;760.0
42;180008391400;2018;2;21259860.0;2110302.0;Santo Antônio dos Lopes;2.0;2.0;478.3;598.2;582.5;522.3;760.0
43;180009235248;2018;2;23252626.0;2304251.0;Cruz;2.0;2.0;458.9;455.7;329.0;468.5;360.0
44;180008919998;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;426.1;482.6;433.0;629.2;400.0
45;180007788782;2018;2;26140144.0;2612604.0;Santa Maria da Boa Vista;2.0;2.0;;;;;
46;180008215254;2018;2;29450241.0;2901106.0;Amélia Rodrigues;2.0;2.0;501.2;616.7;545.2;408.7;480.0
47;180007520867;2018;2;11003413.0;1100205.0;Porto Velho;2.0;2.0;413.2;541.9;487.4;523.3;680.0
48;180008216492;2018;2;23252626.0;2304251.0;Cruz;2.0;2.0;446.1;461.5;469.7;377.2;240.0
49;180007899559;2018;1;52054284.0;5218805.0;Rio Verde;1.0;2.0;517.3;638.6;532.0;522.3;560.0
50;180008923347;2018;1;31347272.0;3103405.0;Araçuaí;1.0;2.0;578.8;664.0;533.2;727.5;960.0
51;180008378964;2018;2;42021103.0;4209102.0;Joinville;2.0;2.0;;;;;
52;180009184868;2018;2;26179873.0;2601706.0;Belo Jardim;2.0;2.0;373.8;473.4;516.8;489.4;440.0
53;180007849269;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;466.8;502.2;546.8;528.4;320.0
54;180008227964;2018;2;21073252.0;2102002.0;Bom Jardim;2.0;2.0;453.1;496.3;460.8;452.4;340.0
55;180007522562;2018;2;50001752.0;5001102.0;Aquidauana;2.0;2.0;;;;;
56;180007525895;2018;1;24084328.0;2404705.0;Ipanguaçu;1.0;2.0;487.6;658.6;599.1;686.2;840.0
57;180008656042;2018;1;13101137.0;1301704.0;Humaitá;1.0;2.0;625.6;672.3;595.5;663.4;840.0
58;180008929347;2018;2;11048956.0;1100189.0;Pimenta Bueno;2.0;2.0;385.2;536.8;484.9;437.2;840.0
59;180008446901;2018;2;26018977.0;2611533.0;Quixaba;2.0;2.0;506.4;649.9;539.9;605.2;740.0
60;180009248763;2018;4;33149615.0;3305554.0;Seropédica;4.0;2.0;499.3;594.5;528.9;402.7;660.0
61;180008713032;2018;2;33050759.0;3301702.0;Duque de Caxias;2.0;2.0;487.4;462.4;471.7;408.7;520.0
62;180008388848;2018;2;35015957.0;3519709.0;Ibiúna;2.0;2.0;552.5;598.1;573.3;592.8;720.0
63;180007530899;2018;2;11003413.0;1100205.0;Porto Velho;2.0;2.0;377.1;491.4;488.3;501.9;640.0
64;180007530912;2018;1;33439745.0;3300704.0;Cabo Frio;1.0;2.0;517.9;599.2;574.8;450.6;860.0
65;180008713051;2018;1;32033486.0;3204609.0;Santa Teresa;1.0;2.0;568.0;631.9;564.7;468.5;580.0
66;180007644700;2018;2;33044880.0;3302007.0;Itaguaí;2.0;2.0;524.9;462.9;578.9;587.9;320.0
67;180008392287;2018;2;15156788.0;1507953.0;Tailândia;2.0;2.0;;;;;
68;180008392297;2018;1;43246214.0;4311205.0;Júlio de Castilhos;1.0;2.0;578.6;722.3;561.6;666.3;800.0
69;180007912975;2018;3;21234272.0;2112506.0;Tutóia;3.0;2.0;605.9;519.6;553.5;594.5;360.0
70;180008238072;2018;2;53004981.0;5300108.0;Brasília;2.0;2.0;515.7;653.9;581.1;579.5;780.0
71;180008612296;2018;1;;;;;;;571.9;572.9;;540.0
72;180008773596;2018;2;31082783.0;3154457.0;Riachinho;2.0;2.0;400.8;590.3;522.6;626.3;600.0
73;180008395544;2018;2;11048956.0;1100189.0;Pimenta Bueno;2.0;2.0;579.2;720.7;661.2;716.0;920.0
74;180008939450;2018;1;31242624.0;3144102.0;Muzambinho;1.0;2.0;472.0;564.3;481.0;585.6;640.0
75;180008394841;2018;1;31242624.0;3144102.0;Muzambinho;1.0;2.0;448.0;640.6;594.9;673.4;760.0
76;180008241435;2018;2;35029087.0;3557105.0;Votuporanga;2.0;2.0;516.3;492.9;543.0;440.8;600.0
77;180007916345;2018;2;35029087.0;3557105.0;Votuporanga;2.0;2.0;589.0;463.8;529.4;570.7;640.0
78;180008398189;2018;2;17042798.0;1700400.0;Almas;2.0;2.0;;;;;
79;180008395580;2018;2;35024348.0;3550902.0;São Simão;2.0;2.0;530.6;549.7;533.5;578.0;580.0
80;180008456992;2018;2;11003413.0;1100205.0;Porto Velho;2.0;2.0;438.0;432.7;460.0;519.7;520.0
81;180008184962;2018;1;13101137.0;1301704.0;Humaitá;1.0;2.0;376.6;577.7;497.0;459.8;460.0
82;180008669392;2018;2;23252600.0;2300200.0;Acaraú;2.0;2.0;438.8;523.8;529.1;503.2;400.0
83;180008401535;2018;2;23252626.0;2304251.0;Cruz;2.0;2.0;476.7;527.4;397.9;385.5;420.0
84;180007651357;2018;1;31242624.0;3144102.0;Muzambinho;1.0;2.0;;;;;
85;180008402462;2018;2;26179873.0;2601706.0;Belo Jardim;2.0;2.0;624.1;626.5;559.6;690.5;620.0
86;180008402364;2018;1;32033486.0;3204609.0;Santa Teresa;1.0;2.0;613.0;653.6;589.1;733.3;600.0
87;180008402278;2018;2;29110866.0;2930402.0;Serra Preta;2.0;2.0;398.2;541.1;377.8;452.5;420.0
88;180008408263;2018;2;26179873.0;2601706.0;Belo Jardim;2.0;2.0;559.7;590.5;554.7;505.4;360.0
89;180008248170;2018;1;31242624.0;3144102.0;Muzambinho;1.0;2.0;565.1;585.8;543.9;524.7;540.0
90;180008412791;2018;3;26095920.0;2616407.0;Vitória de Santo Antão;3.0;2.0;581.6;665.2;614.4;547.7;880.0
91;180009211713;2018;1;51192802.0;5105150.0;Juína;1.0;2.0;486.1;603.5;531.9;446.6;520.0
92;180007724597;2018;2;33023298.0;3303401.0;Nova Friburgo;2.0;2.0;479.8;653.3;641.9;519.4;0.0
93;180008405657;2018;2;43167357.0;4323002.0;Viamão;2.0;2.0;521.0;599.6;532.3;594.0;400.0
94;180008804836;2018;1;24084328.0;2404705.0;Ipanguaçu;1.0;2.0;513.0;629.6;577.4;647.5;860.0
95;180008754404;2018;2;33041946.0;3303906.0;Petrópolis;2.0;2.0;420.1;581.2;506.8;374.3;240.0
96;180008416231;2018;2;33050759.0;3301702.0;Duque de Caxias;2.0;2.0;577.2;616.8;547.4;449.7;680.0
97;180008416081;2018;4;29399203.0;2913457.0;Igrapiúna;4.0;2.0;403.9;452.6;404.9;373.3;0.0
98;180008409075;2018;2;43167446.0;4323002.0;Viamão;2.0;2.0;;;;;
99;180008416344;2018;1;51037572.0;5102678.0;Campo Verde;1.0;2.0;442.9;648.4;584.1;577.0;640.0
100;180008409053;2018;3;26095920.0;2616407.0;Vitória de Santo Antão;3.0;2.0;641.4;719.0;680.0;691.3;840.0
101;180008405841;2018;2;33050759.0;3301702.0;Duque de Caxias;2.0;2.0;423.2;638.0;565.8;491.5;360.0
102;180008419653;2018;2;25018272.0;2516201.0;Sousa;2.0;2.0;392.5;527.9;468.0;443.8;340.0
103;180008575732;2018;1;24084328.0;2404705.0;Ipanguaçu;1.0;2.0;430.0;627.2;618.8;407.0;360.0
104;180009333648;2018;2;11003413.0;1100205.0;Porto Velho;2.0;2.0;387.0;449.5;431.3;380.1;360.0
105;180009272352;2018;2;51100401.0;5106422.0;Peixoto de Azevedo;2.0;2.0;;;;;
106;180008426013;2018;1;52070913.0;5205406.0;Ceres;1.0;2.0;562.5;615.5;622.6;553.6;700.0
107;180008379034;2018;2;11048956.0;1100189.0;Pimenta Bueno;2.0;2.0;457.6;;;505.9;
108;180007837457;2018;2;26108038.0;2603454.0;Camaragibe;2.0;2.0;594.6;638.2;611.2;646.2;800.0
109;180008382391;2018;2;29111285.0;2930402.0;Serra Preta;2.0;2.0;438.7;585.9;497.2;410.9;380.0
110;180008426418;2018;1;24085367.0;2402204.0;Canguaretama;1.0;2.0;494.8;570.0;532.7;454.6;560.0
111;180007837473;2018;3;26095920.0;2616407.0;Vitória de Santo Antão;3.0;2.0;528.0;637.1;566.2;639.7;780.0
112;180008963464;2018;2;26018977.0;2611533.0;Quixaba;2.0;2.0;492.8;640.3;599.9;643.6;400.0
113;180007191325;2018;2;17042798.0;1700400.0;Almas;2.0;2.0;;;;;
114;180008327259;2018;2;13096648.0;1303536.0;Presidente Figueiredo;2.0;2.0;;482.6;379.6;;0.0
115;180007840802;2018;2;11003413.0;1100205.0;Porto Velho;2.0;2.0;367.0;455.2;364.0;372.4;660.0
116;180007688137;2018;2;29110866.0;2930402.0;Serra Preta;2.0;2.0;;;;;
117;180008327271;2018;1;32033486.0;3204609.0;Santa Teresa;1.0;2.0;537.4;679.1;600.0;468.2;700.0
118;180008966814;2018;1;;;;;;542.2;645.6;619.8;663.6;640.0
119;180008394892;2018;2;35024348.0;3550902.0;São Simão;2.0;2.0;596.2;655.2;594.7;646.8;820.0
120;180008409260;2018;1;31170674.0;3139003.0;Machado;1.0;2.0;442.8;599.6;641.6;570.8;600.0
121;180007192975;2018;1;21017638.0;2111300.0;São Luís;1.0;2.0;598.2;600.2;571.7;490.3;480.0
122;180008164419;2018;2;26108925.0;2607901.0;Jaboatão dos Guararapes;2.0;2.0;459.2;588.3;532.5;438.1;660.0
123;180008379235;2018;2;53003047.0;5300108.0;Brasília;2.0;2.0;552.8;631.6;549.8;518.6;600.0
124;180007357485;2018;2;26018977.0;2611533.0;Quixaba;2.0;2.0;514.2;632.6;583.2;627.2;580.0
125;180009285752;2018;1;31031763.0;3126000.0;Florestal;1.0;2.0;678.6;718.9;689.9;700.0;840.0
126;180007357489;2018;2;27007120.0;2708006.0;Santana do Ipanema;2.0;2.0;472.2;525.6;363.6;393.1;560.0
127;180008164441;2018;2;11003413.0;1100205.0;Porto Velho;2.0;2.0;452.7;595.8;525.0;456.7;560.0
128;180008429394;2018;1;21017638.0;2111300.0;São Luís;1.0;2.0;528.4;665.3;611.0;526.4;840.0
129;180008771273;2018;4;15084620.0;1507953.0;Tailândia;4.0;2.0;418.5;508.2;419.4;453.3;600.0
130;180008404949;2018;1;52070913.0;5205406.0;Ceres;1.0;2.0;651.4;643.5;629.1;725.9;800.0
131;180008382587;2018;2;11048956.0;1100189.0;Pimenta Bueno;2.0;2.0;477.1;605.8;531.9;487.1;900.0
132;180008382637;2018;2;31082104.0;3145059.0;Nova Porteirinha;2.0;2.0;452.1;538.1;463.3;459.7;580.0
133;180009289146;2018;1;52070913.0;5205406.0;Ceres;1.0;2.0;547.0;625.1;553.9;646.1;360.0
134;180008777954;2018;3;15046117.0;1502400.0;Castanhal;3.0;2.0;463.8;587.4;467.2;410.9;320.0
135;180008222484;2018;1;26094789.0;2616407.0;Vitória de Santo Antão;1.0;2.0;501.9;569.6;501.0;502.4;600.0
136;180007797158;2018;2;23252626.0;2304251.0;Cruz;2.0;2.0;542.8;609.9;505.8;657.8;660.0
137;180008337401;2018;1;52070913.0;5205406.0;Ceres;1.0;2.0;458.4;471.9;512.0;514.7;640.0
138;180007698114;2018;2;11003413.0;1100205.0;Porto Velho;2.0;2.0;422.9;469.3;427.6;395.1;640.0
139;180008337412;2018;1;51174804.0;5102637.0;Campo Novo do Parecis;1.0;2.0;627.0;658.9;618.2;614.5;740.0
140;180008385971;2018;2;35014680.0;3511409.0;Cerqueira César;2.0;2.0;565.5;592.0;542.8;587.3;620.0
141;180008878939;2018;1;51174804.0;5102637.0;Campo Novo do Parecis;1.0;2.0;535.9;643.5;585.4;591.7;420.0
142;180008389493;2018;2;35039652.0;3524402.0;Jacareí;2.0;2.0;455.5;564.0;440.8;407.0;360.0
143;180008421715;2018;1;31031763.0;3126000.0;Florestal;1.0;2.0;522.4;657.7;616.0;676.1;780.0
144;180008389422;2018;2;29433843.0;2922003.0;Mucuri;2.0;2.0;448.2;539.5;506.6;421.4;360.0
145;180008421750;2018;2;26036215.0;2611101.0;Petrolina;2.0;2.0;529.8;464.7;492.0;639.8;600.0
